hotel_name,hotel_url,review_date,review_item_user_review_count,review_score_badge,review_item_header_content,review_info_tag,review_staydate,review_sentence,review_label,review_traveler_type,review_time_of_travel,review_topic_annotated
Aqualina Inn Montauk,aqualina-inn-montauk.en-gb,2 October 2019,4 reviews,8.0,Second time weve stayed here Price compared to other sites reasonable Bed comfortable,"['Leisure trip', 'Couple', 'Queen Room with Courtyard', 'Stayed 2 nights']",ptember 2019,Need a chair in room,0,Couple,Fall,6
Aqualina Inn Montauk,aqualina-inn-montauk.en-gb,23 September 2018,9 reviews,8.8,Very enjoyable,"['Leisure trip', 'Couple', 'Queen Room with Courtyard', 'Stayed 2 nights', 'Submitted via mobile']",ptember 2018,Wall were a bit thin,0,Couple,Fall,6
Aqualina Inn Montauk,aqualina-inn-montauk.en-gb,23 September 2018,9 reviews,8.8,Very enjoyable,"['Leisure trip', 'Couple', 'Queen Room with Courtyard', 'Stayed 2 nights', 'Submitted via mobile']",ptember 2018,Heavy snorer next door,0,Couple,Fall,0
Aqualina Inn Montauk,aqualina-inn-montauk.en-gb,14 September 2018,35 reviews,8.3,Clean motel with comfy beds ,"['Business trip', 'People with friends', 'King Room with Balcony', 'Stayed 1 night', 'Submitted via mobile']",ptember 2018,Its a motel basically,0,People with friends,Fall,-1
Aqualina Inn Montauk,aqualina-inn-montauk.en-gb,14 September 2018,35 reviews,8.3,Clean motel with comfy beds ,"['Business trip', 'People with friends', 'King Room with Balcony', 'Stayed 1 night', 'Submitted via mobile']",ptember 2018,Felt a little bit tired overall,0,People with friends,Fall,-1
Aqualina Inn Montauk,aqualina-inn-montauk.en-gb,10 September 2018,1 review,9.6,Very Nice,"['Leisure trip', 'Couple', 'King Room with Balcony', 'Stayed 2 nights']",ptember 2018,AC was loud,0,Couple,Fall,0
Aqualina Inn Montauk,aqualina-inn-montauk.en-gb,6 September 2018,3 reviews,10.0,Great place to stay Clean and pool for those who don’t like the beach,"['Leisure trip', 'Couple', 'Queen Room with Courtyard', 'Stayed 3 nights', 'Submitted via mobile']",ptember 2018,Nothing not to like about it,0,Couple,Fall,-1
Aqualina Inn Montauk,aqualina-inn-montauk.en-gb,29 August 2018,1 review,10.0,Montauk retreat,"['Leisure trip', 'Couple', 'Queen Room with Courtyard', 'Stayed 1 night', 'Submitted via mobile']",August 2018,Will definitely go again could use a safe in room and two ply toilet paper other than those things perfect,0,Couple,Summer,5
Aqualina Inn Montauk,aqualina-inn-montauk.en-gb,26 June 2018,1 review,10.0,Everything was fantastic my stay was beyond my expectations,"['Couple', 'King Room', 'Stayed 2 nights', 'Submitted via mobile']",June 2018,I have nothing negative to say ,0,Couple,Summer,-1
Aqualina Inn Montauk,aqualina-inn-montauk.en-gb,26 June 2018,1 review,10.0,Everything was fantastic my stay was beyond my expectations,"['Couple', 'King Room', 'Stayed 2 nights', 'Submitted via mobile']",June 2018,I was extremely happy with my stayed,0,Couple,Summer,-1
Watkins Glen Harbor Hotel,watkins-glen-harbor.en-gb,26 May 2020,3 reviews,10.0,Great overall,"['Leisure trip', 'Couple', 'King Room with Lake View', 'Stayed 2 nights', 'Submitted via mobile']",May 2020,Maid services only every 4 nights,0,Couple,Spring,1
Watkins Glen Harbor Hotel,watkins-glen-harbor.en-gb,12 May 2020,1 review,9.0,Superb,"['Leisure trip', 'Couple', 'King Room with Sofa Bed and Lake View', 'Stayed 1 night', 'Submitted via mobile']",May 2020,Room service breakfast was only okay,0,Couple,Spring,2
Watkins Glen Harbor Hotel,watkins-glen-harbor.en-gb,12 May 2020,1 review,9.0,Superb,"['Leisure trip', 'Couple', 'King Room with Sofa Bed and Lake View', 'Stayed 1 night', 'Submitted via mobile']",May 2020,No ketchup or condiments with the eggs and no cheese in the omelet,0,Couple,Spring,2
Watkins Glen Harbor Hotel,watkins-glen-harbor.en-gb,8 March 2020,1 review,10.0,Exceptional,"['Leisure trip', 'Family with young children', 'Queen Room with Patio and Lake View', 'Stayed 2 nights', 'Submitted via mobile']",March 2020,A few rowdy guest from a party but it quickly quiet down,0,Family with young children,Spring,0
Watkins Glen Harbor Hotel,watkins-glen-harbor.en-gb,23 February 2020,17 reviews,8.0,Large comfortable room in downtown Watkins Glen,"['Leisure trip', 'Couple', 'King Room with Sofa Bed and Village View', 'Stayed 2 nights']",February 2020,When we asked the staff for recommendations about what was open for winter there was a lot of hesitation and uncertainty,0,Couple,Winter,1
Watkins Glen Harbor Hotel,watkins-glen-harbor.en-gb,23 February 2020,17 reviews,8.0,Large comfortable room in downtown Watkins Glen,"['Leisure trip', 'Couple', 'King Room with Sofa Bed and Village View', 'Stayed 2 nights']",February 2020,I definitely think the staff needs more expert info on the area they operate in,0,Couple,Winter,1
Watkins Glen Harbor Hotel,watkins-glen-harbor.en-gb,18 February 2020,2 reviews,8.0,A good stay but not a place I would stay again with the price and other options available,"['Leisure trip', 'Couple', 'Queen Room with Patio and Lake View', 'Stayed 2 nights', 'Submitted via mobile']",February 2020,When I reserved my room I asked for an early check in because check is not normally until 400,0,Couple,Winter,1
Watkins Glen Harbor Hotel,watkins-glen-harbor.en-gb,15 December 2019,78 reviews,9.0,Perfect experience,"['Business trip', 'Solo traveller', 'King Room with Village View', 'Stayed 1 night']",December 2019,A coffeemaker in the room would be nice,0,Solo traveler,Winter,6
Watkins Glen Harbor Hotel,watkins-glen-harbor.en-gb,12 December 2019,2 reviews,10.0,Exceeded expectations,"['Leisure trip', 'Couple', 'King Room with Sofa Bed and Village View', 'Stayed 2 nights', 'Submitted via mobile']",December 2019,The direct tv gave us some trouble on the last night but we were so tired it didnt even matter,0,Couple,Winter,6
Watkins Glen Harbor Hotel,watkins-glen-harbor.en-gb,3 November 2019,3 reviews,10.0,Harbor Hotel is Wonderful,"['Leisure trip', 'Couple', 'King Room with Lake View', 'Stayed 2 nights', 'Submitted via mobile']",November 2019,The cost of lodging was on the high end of what I would expect to pay  the rates could be adjusted lower  especially this time of year,0,Couple,Fall,-1
Watkins Glen Harbor Hotel,watkins-glen-harbor.en-gb,1 November 2019,1 review,9.6,Excellent accommodations,"['Leisure trip', 'Family with young children', 'Queen Room with Two Queen Beds with Lake View', 'Stayed 1 night', 'Submitted via mobile']",November 2019,No complaints none,0,Family with young children,Fall,-1
Watkins Glen Harbor Hotel,watkins-glen-harbor.en-gb,28 October 2019,1 review,10.0,Exceptional,"['Leisure trip', 'Couple', 'King Room with Sofa Bed and Lake View', 'Stayed 1 night', 'Submitted via mobile']",October 2019,Nothing not to like,0,Couple,Fall,-1
Watkins Glen Harbor Hotel,watkins-glen-harbor.en-gb,23 October 2019,3 reviews,10.0,would come back,"['Leisure trip', 'Group', 'King Room with Lake View', 'Stayed 2 nights']",October 2019,hotel restaurant was overpriced,0,Group,Fall,3
Watkins Glen Harbor Hotel,watkins-glen-harbor.en-gb,16 October 2019,3 reviews,10.0,We enjoyed our entire stay,"['Business trip', 'Family with young children', 'Queen Room with Two Queen Beds with Village View', 'Stayed 3 nights']",October 2019,Nothing that I can remember,0,Family with young children,Fall,-1
Watkins Glen Harbor Hotel,watkins-glen-harbor.en-gb,28 May 2019,23 reviews,10.0,Exceptional,"['Leisure trip', 'Couple', 'King Room with Lake View', 'Stayed 1 night']",May 2019,A continental breakfast some pastries or fruit to go with complimentary coffee and tea would have been nice for the price,0,Couple,Spring,2
Watkins Glen Harbor Hotel,watkins-glen-harbor.en-gb,28 May 2019,1 review,10.0,Exceptional,"['Leisure trip', 'Couple', 'King Room with Sofa Bed and Lake View', 'Stayed 3 nights', 'Submitted via mobile']",May 2019,Scrambled eggs,0,Couple,Spring,2
Watkins Glen Harbor Hotel,watkins-glen-harbor.en-gb,24 May 2019,6 reviews,9.2,Nice four day vacation in NY wine country,"['Leisure trip', 'Couple', 'King Room with Sofa Bed and Lake View', 'Stayed 4 nights', 'Submitted via mobile']",May 2019,All streets and sidewalks under construction on surrounding roads,0,Couple,Spring,4
Watkins Glen Harbor Hotel,watkins-glen-harbor.en-gb,20 May 2019,6 reviews,10.0,Exceptional,"['Leisure trip', 'Couple', 'Queen Room with Patio and Lake View', 'Stayed 2 nights']",May 2019,Our first night we were in room  218,0,Couple,Spring,-1
Watkins Glen Harbor Hotel,watkins-glen-harbor.en-gb,20 May 2019,6 reviews,10.0,Exceptional,"['Leisure trip', 'Couple', 'Queen Room with Patio and Lake View', 'Stayed 2 nights']",May 2019,As it turns out that room is right next to the work out room,0,Couple,Spring,-1
Watkins Glen Harbor Hotel,watkins-glen-harbor.en-gb,10 May 2019,11 reviews,10.0,It was a great place to come home to after a day of rigorous wine tasting,"['Leisure trip', 'Couple', 'Queen Room with Two Queen Beds with Village View', 'Stayed 2 nights']",May 2019,WiFi was very slow,0,Couple,Spring,3
Watkins Glen Harbor Hotel,watkins-glen-harbor.en-gb,29 April 2019,2 reviews,9.6,Exceptional,"['Leisure trip', 'Couple', 'King Room with Lake View', 'Stayed 1 night', 'Submitted via mobile']",April 2019,Noticeable noise from the hall can be heard when people walked by,0,Couple,Spring,0
Watkins Glen Harbor Hotel,watkins-glen-harbor.en-gb,21 April 2019,1 review,9.2,Superb,"['Leisure trip', 'Couple', 'King Room with Sofa Bed and Lake View', 'Stayed 2 nights']",April 2019,The only hiccup came from our room cards,0,Couple,Spring,6
Watkins Glen Harbor Hotel,watkins-glen-harbor.en-gb,21 April 2019,1 review,9.2,Superb,"['Leisure trip', 'Couple', 'King Room with Sofa Bed and Lake View', 'Stayed 2 nights']",April 2019,We were extra careful to keep our room keys away from anything that might cause a problem,0,Couple,Spring,6
Watkins Glen Harbor Hotel,watkins-glen-harbor.en-gb,21 April 2019,1 review,9.2,Superb,"['Leisure trip', 'Couple', 'King Room with Sofa Bed and Lake View', 'Stayed 2 nights']",April 2019,The staff was even having trouble getting the cards to reactivate,0,Couple,Spring,1
Watkins Glen Harbor Hotel,watkins-glen-harbor.en-gb,21 April 2019,1 review,9.2,Superb,"['Leisure trip', 'Couple', 'King Room with Sofa Bed and Lake View', 'Stayed 2 nights']",April 2019,Although it wasnt a huge deal Ive never experienced this inconvenience at any other hotel Ive ever stayed at,0,Couple,Spring,-1
Watkins Glen Harbor Hotel,watkins-glen-harbor.en-gb,21 April 2019,1 review,9.2,Superb,"['Leisure trip', 'Couple', 'King Room with Sofa Bed and Lake View', 'Stayed 2 nights']",April 2019,Ive always carried my card in my wallet andor near my cell phone without any issues,0,Couple,Spring,6
Watkins Glen Harbor Hotel,watkins-glen-harbor.en-gb,21 April 2019,1 review,9.2,Superb,"['Leisure trip', 'Couple', 'King Room with Sofa Bed and Lake View', 'Stayed 2 nights']",April 2019,Something to look into perhaps,0,Couple,Spring,-1
Watkins Glen Harbor Hotel,watkins-glen-harbor.en-gb,21 April 2019,1 review,9.2,Superb,"['Leisure trip', 'Couple', 'King Room with Sofa Bed and Lake View', 'Stayed 2 nights']",April 2019,455,0,Couple,Spring,-1
Watkins Glen Harbor Hotel,watkins-glen-harbor.en-gb,21 April 2019,1 review,9.6,Comfortable room with a beautiful view,"['Leisure trip', 'Couple', 'Queen Room with Patio and Lake View', 'Stayed 2 nights', 'Submitted via mobile']",April 2019,Our room was right next to the gym so it got pretty loud when people were in there,0,Couple,Spring,0
Watkins Glen Harbor Hotel,watkins-glen-harbor.en-gb,21 April 2019,1 review,9.6,Comfortable room with a beautiful view,"['Leisure trip', 'Couple', 'Queen Room with Patio and Lake View', 'Stayed 2 nights', 'Submitted via mobile']",April 2019,Also our bathroom didnt have a vent,0,Couple,Spring,5
Watkins Glen Harbor Hotel,watkins-glen-harbor.en-gb,21 April 2019,1 review,9.6,Comfortable room with a beautiful view,"['Leisure trip', 'Couple', 'Queen Room with Patio and Lake View', 'Stayed 2 nights', 'Submitted via mobile']",April 2019,For the money it would also be nice if they offered at least a continental breakfast with the daily complimentary coffee and tea,0,Couple,Spring,2
Watkins Glen Harbor Hotel,watkins-glen-harbor.en-gb,20 April 2019,13 reviews,9.6,Exceptional,"['Leisure trip', 'Solo traveller', 'King Room with Sofa Bed and Lake View', 'Stayed 1 night', 'Submitted via mobile']",April 2019,There should have been bottled water in the rooms,0,Solo traveler,Spring,6
Watkins Glen Harbor Hotel,watkins-glen-harbor.en-gb,20 April 2019,13 reviews,9.6,Exceptional,"['Leisure trip', 'Solo traveller', 'King Room with Sofa Bed and Lake View', 'Stayed 1 night', 'Submitted via mobile']",April 2019,Even cheap hotels offer water,0,Solo traveler,Spring,-1
Watkins Glen Harbor Hotel,watkins-glen-harbor.en-gb,19 April 2019,1 review,10.0,Everything I expected and more,"['Leisure trip', 'Couple', 'Queen Room with Spa Bath and Village View', 'Stayed 1 night', 'Submitted via mobile']",April 2019,More outlets are needed near night stand to charge devices,0,Couple,Spring,6
Watkins Glen Harbor Hotel,watkins-glen-harbor.en-gb,16 April 2019,2 reviews,9.6,overall good,"['Leisure trip', 'Solo traveller', 'Queen Room with Two Queen Beds with Lake View', 'Stayed 2 nights']",April 2019,the price per night,0,Solo traveler,Spring,-1
Watkins Glen Harbor Hotel,watkins-glen-harbor.en-gb,2 February 2020,1 review,7.0,Loved it was a great short weekend getaway,"['Leisure trip', 'Family with young children', 'Queen Room with Two Queen Beds with Village View', 'Stayed 2 nights']",January 2020,The room service was cold when delivered but was still good,0,Family with young children,Winter,6
Watkins Glen Harbor Hotel,watkins-glen-harbor.en-gb,12 November 2019,1 review,6.7,Pleasant,"['Leisure trip', 'Couple', 'King Room with Sofa Bed and Lake View', 'Stayed 2 nights', 'Submitted via mobile']",November 2019,The only thing I didnt like was the staff,0,Couple,Fall,1
Watkins Glen Harbor Hotel,watkins-glen-harbor.en-gb,12 November 2019,1 review,6.7,Pleasant,"['Leisure trip', 'Couple', 'King Room with Sofa Bed and Lake View', 'Stayed 2 nights', 'Submitted via mobile']",November 2019,When we first arrive we were not greeted we were standing there for quite a few minutes and we were not acknowledged,0,Couple,Fall,-1
Watkins Glen Harbor Hotel,watkins-glen-harbor.en-gb,29 October 2019,4 reviews,7.9,Excellent and terrible,"['Leisure trip', 'Couple', 'Deluxe Queen Room with Patio and Lake View', 'Stayed 2 nights', 'Submitted via mobile']",October 2019,Room did not have exhaust fan in bathroom and therefore when daughter was blow drying her hair she set off fire alarm and while hotel had to be evacuated and wait for fire dept to show up,0,Couple,Fall,5
Watkins Glen Harbor Hotel,watkins-glen-harbor.en-gb,29 October 2019,4 reviews,7.9,Excellent and terrible,"['Leisure trip', 'Couple', 'Deluxe Queen Room with Patio and Lake View', 'Stayed 2 nights', 'Submitted via mobile']",October 2019,VERY upsetting and embarrassing,0,Couple,Fall,-1
Watkins Glen Harbor Hotel,watkins-glen-harbor.en-gb,29 October 2019,4 reviews,7.9,Excellent and terrible,"['Leisure trip', 'Couple', 'Deluxe Queen Room with Patio and Lake View', 'Stayed 2 nights', 'Submitted via mobile']",October 2019,Problem is the hotel staff would NOT promise to fix exhaust,0,Couple,Fall,1
Watkins Glen Harbor Hotel,watkins-glen-harbor.en-gb,26 April 2019,1 review,7.1,Very nice,"['Leisure trip', 'Couple', 'Queen Room with Patio and Lake View', 'Stayed 2 nights', 'Submitted via mobile']",April 2019,It would be nice to keep little kids out of the jacuzzi,0,Couple,Spring,3
Watkins Glen Harbor Hotel,watkins-glen-harbor.en-gb,15 January 2019,1 review,6.7,Pleasant,"['Leisure trip', 'Group', 'Queen Room with Patio and Lake View', 'Stayed 1 night']",January 2019,When booking I wasnt offered a non balcony non view of the lake option,0,Group,Winter,1
Watkins Glen Harbor Hotel,watkins-glen-harbor.en-gb,25 November 2018,1 review,5.4,Over piced and poorly managed,"['Leisure trip', 'Couple', 'King Room with Village View', 'Stayed 1 night']",November 2018,one of 2 elevators didnt work from Friday at check in thru sunday am,0,Couple,Fall,3
Watkins Glen Harbor Hotel,watkins-glen-harbor.en-gb,25 November 2018,1 review,5.4,Over piced and poorly managed,"['Leisure trip', 'Couple', 'King Room with Village View', 'Stayed 1 night']",November 2018,The one that did work was dead dog slow,0,Couple,Fall,-1
Watkins Glen Harbor Hotel,watkins-glen-harbor.en-gb,25 November 2018,1 review,5.4,Over piced and poorly managed,"['Leisure trip', 'Couple', 'King Room with Village View', 'Stayed 1 night']",November 2018,They screwed up our reservation made in august for a midnovember stay,0,Couple,Fall,1
