unique_id,hotel_name,hotel_url,review_date,review_item_user_review_count,review_score_badge,review_item_header_content,review_info_tag,review_staydate,review_neg_sentence,review_topic_annotated
15,Adelphi Hotel,adelphi.en-gb,23 July 2019,1 review,10.0,I loved it and will stay here whenever I’m in town.,"['Business trip', 'Solo traveller', 'Premier King Room', 'Stayed 1 night', 'Submitted via mobile']",July 2019,Food was kind of average.,2
16,Adelphi Hotel,adelphi.en-gb,7 July 2019,3 reviews,9.6,Exceptional,"['Leisure trip', 'Family with young children', 'Premier King Room', 'Stayed 1 night', 'Submitted via mobile']",July 2019,Drapes didnt work.,6
17,Adelphi Hotel,adelphi.en-gb,7 July 2019,3 reviews,9.6,Exceptional,"['Leisure trip', 'Family with young children', 'Premier King Room', 'Stayed 1 night', 'Submitted via mobile']",July 2019,Snacks differ from room to suites .,6
18,Adelphi Hotel,adelphi.en-gb,7 July 2019,3 reviews,9.6,Exceptional,"['Leisure trip', 'Family with young children', 'Premier King Room', 'Stayed 1 night', 'Submitted via mobile']",July 2019,Pillows too soft,7
19,Adelphi Hotel,adelphi.en-gb,5 July 2019,6 reviews,10.0,Exceptional,"['Leisure trip', 'Couple', 'Premier King Room', 'Stayed 1 night', 'Submitted via mobile']",July 2019,Nothing,-1
92,Homewood Suites By Hilton Saratoga Springs,homewood-suites-by-hilton-saratoga-springs.en-gb,21 August 2018,1 review,8.8,Fabulous,"['Leisure trip', 'Family with young children', 'Queen Suite with Two Queen Beds - Non-Smoking', 'Stayed 1 night', 'Submitted via mobile']",August 2018,Room cd had been a little fresher regarding smell.,0
139,Watkins Glen Harbor Hotel,watkins-glen-harbor.en-gb,23 February 2020,17 reviews,8.0,Large comfortable room in downtown Watkins Glen,"['Leisure trip', 'Couple', 'King Room with Sofa Bed and Village View', 'Stayed 2 nights']",February 2020,I definitely think the staff needs more expert info on the area they operate in.,1
219,Watkins Glen Harbor Hotel,watkins-glen-harbor.en-gb,29 October 2019,4 reviews,7.9,Excellent and terrible,"['Leisure trip', 'Couple', 'Deluxe Queen Room with Patio and Lake View', 'Stayed 2 nights', 'Submitted via mobile']",October 2019,Problem is the hotel staff would NOT promise to fix exhaust,1
220,Watkins Glen Harbor Hotel,watkins-glen-harbor.en-gb,26 April 2019,1 review,7.1,Very nice.,"['Leisure trip', 'Couple', 'Queen Room with Patio and Lake View', 'Stayed 2 nights', 'Submitted via mobile']",April 2019,It would be nice to keep little kids out of the jacuzzi.,3
237,Watkins Glen Harbor Hotel,watkins-glen-harbor.en-gb,24 May 2019,1 review,10.0,Exceptional,"['Leisure trip', 'Couple', 'King Room with Sofa Bed and Lake View', 'Stayed 1 night', 'Submitted via mobile']",May 2019,Hard to regulate temp in shower.,5
238,Watkins Glen Harbor Hotel,watkins-glen-harbor.en-gb,24 May 2019,1 review,10.0,Exceptional,"['Leisure trip', 'Couple', 'King Room with Sofa Bed and Lake View', 'Stayed 1 night', 'Submitted via mobile']",May 2019,Was not extreme temp changes.,0
239,Watkins Glen Harbor Hotel,watkins-glen-harbor.en-gb,12 April 2019,2 reviews,10.0,The service crew was helpful and friendly.,"['Leisure trip', 'Family with young children', 'Queen Room with Two Queen Beds with Village View', 'Stayed 2 nights']",April 2019,"Amenities: the pool location is a little inconvenient, you have to pass through the main hall to get to the pool, so have to change up before and after.",3
240,Watkins Glen Harbor Hotel,watkins-glen-harbor.en-gb,11 April 2019,1 review,8.3,Very good,"['Leisure trip', 'Couple', 'King Room with Sofa Bed and Lake View', 'Stayed 2 nights']",April 2019,Linens spotted,7
241,The Whitby Hotel,the-whitby.en-gb,2 March 2020,4 reviews,10.0,"Stylish, friendly, artistic, comfortable...I absolutely loved it!","['Business trip', 'Solo traveller', 'Luxury Room', 'Stayed 4 nights']",February 2020,I wish that I had a tub but not that big of a deal.,5
248,The Whitby Hotel,the-whitby.en-gb,23 February 2020,1 review,8.0,GREAT LOCATION FOR APPOINTMENT AND NEAR BY SHOPPING,"['Leisure trip', 'Couple', 'Superior Room', 'Stayed 1 night']",February 2020,VIEW WAS TERRIBLE!!,4
250,The Whitby Hotel,the-whitby.en-gb,29 January 2020,1 review,9.6,My NYC home,"['Business trip', 'Solo traveller', 'Superior Room', 'Stayed 4 nights', 'Submitted via mobile']",January 2020,"Room service was hap hazard, items missing, left off the tray.",6
251,The Whitby Hotel,the-whitby.en-gb,29 January 2020,14 reviews,9.0,Superb,"['Leisure trip', 'Couple', 'Luxury Room', 'Stayed 3 nights']",January 2020,Our view was terrible.,4
252,The Whitby Hotel,the-whitby.en-gb,29 January 2020,14 reviews,9.0,Superb,"['Leisure trip', 'Couple', 'Luxury Room', 'Stayed 3 nights']",January 2020,Our room (at the front of the property) faced a construction site and its garbage dumpster.,4
264,The Whitby Hotel,the-whitby.en-gb,30 September 2019,1 review,9.2,"Exquisite decor, rooms comfy, desk and door staff are of a very high standard. Nothing was a problem","['Leisure trip', 'Solo traveller', 'Luxury Room', 'Stayed 6 nights', 'Submitted via mobile']",ptember 2019,Wish there could have been tea making facilities in the room.,6
266,The Whitby Hotel,the-whitby.en-gb,12 September 2019,7 reviews,9.6,Fabulous,"['Leisure trip', 'Couple', 'Deluxe Room', 'Stayed 3 nights', 'Submitted via mobile']",ptember 2019,Would have liked a hot water kettle,6
267,The Whitby Hotel,the-whitby.en-gb,11 October 2018,16 reviews,9.6,Exceptional,"['Leisure trip', 'Solo traveller', 'Junior Suite', 'Stayed 4 nights', 'Submitted via mobile']",October 2018,Nothing really,-1
271,The Whitby Hotel,the-whitby.en-gb,13 September 2018,14 reviews,10.0,Amazing experience,"['Leisure trip', 'Couple', 'Luxury Room', 'Stayed 5 nights', 'Submitted via mobile']",ptember 2018,View from room,4
301,The Roxbury,the-roxbury-roxbury.en-gb,18 January 2020,1 review,9.0,It was a great escape from the city. Beautiful and eclectic design with lovely people!,"['Leisure trip', 'Couple', 'Standard Studio', 'Stayed 2 nights']",December 2019,The breakfast was cute but just ok.,2
302,The Roxbury,the-roxbury-roxbury.en-gb,18 January 2020,1 review,9.0,It was a great escape from the city. Beautiful and eclectic design with lovely people!,"['Leisure trip', 'Couple', 'Standard Studio', 'Stayed 2 nights']",December 2019,It would have been exceptional if the pastries were fresh from a local bakery or something.,2
303,The Roxbury,the-roxbury-roxbury.en-gb,18 January 2020,1 review,9.0,It was a great escape from the city. Beautiful and eclectic design with lovely people!,"['Leisure trip', 'Couple', 'Standard Studio', 'Stayed 2 nights']",December 2019,There was a good spread though.,-1
304,The Roxbury,the-roxbury-roxbury.en-gb,13 January 2020,2 reviews,10.0,Exceptional,"['Leisure trip', 'Couple', 'Classic Contemporary King', 'Stayed 1 night']",December 2019,The drive to Margaretville for dinner was a little far,4
305,The Roxbury,the-roxbury-roxbury.en-gb,2 January 2020,1 review,8.0,we enjoyed it,"['Leisure trip', 'Couple', 'King Theme Room', 'Stayed 1 night']",December 2019,the room was hot - other than that great!,0
306,The Roxbury,the-roxbury-roxbury.en-gb,25 December 2019,3 reviews,10.0,We loved everything about the Roxbury; It couldn’t be more charming!!,"['Business trip', 'Couple', 'Standard Studio', 'Stayed 3 nights', 'Submitted via mobile']",December 2019,NOTHING!,-1
307,The Roxbury,the-roxbury-roxbury.en-gb,25 December 2019,3 reviews,10.0,We loved everything about the Roxbury; It couldn’t be more charming!!,"['Business trip', 'Couple', 'Standard Studio', 'Stayed 3 nights', 'Submitted via mobile']",December 2019,!,-1
308,The Roxbury,the-roxbury-roxbury.en-gb,24 November 2019,1 review,10.0,This is a really cool place to stay and I love that there are coffee/tea/snacks available always,"['Leisure trip', 'Family with young children', 'Two-Bedroom Suite with Two Bathrooms', 'Stayed 1 night']",November 2019,our DVD player didn't work ...... maybe more offerings of games (more adult games in addition to the traditional board games) would be good.,6
310,The Roxbury,the-roxbury-roxbury.en-gb,15 November 2019,1 review,8.0,Comfortable and cozy,"['Leisure trip', 'Couple', 'Standard Studio', 'Stayed 2 nights', 'Submitted via mobile']",November 2019,Walls very thin.,0
311,The Roxbury,the-roxbury-roxbury.en-gb,15 November 2019,1 review,8.0,Comfortable and cozy,"['Leisure trip', 'Couple', 'Standard Studio', 'Stayed 2 nights', 'Submitted via mobile']",November 2019,Could hear people next door and a few rude people were very loud at 1030 pm and could hear every word they were saying as if they were in the room.,0
314,The Roxbury,the-roxbury-roxbury.en-gb,24 October 2019,12 reviews,9.2,"Unique style rooms, peaceful location","['Leisure trip', 'Couple', 'Queen Theme Room', 'Stayed 1 night', 'Submitted via mobile']",October 2019,We could not work out how to turn the tap on in the bath so just used the shower to fill the bath.,5
315,The Roxbury,the-roxbury-roxbury.en-gb,24 October 2019,12 reviews,9.2,"Unique style rooms, peaceful location","['Leisure trip', 'Couple', 'Queen Theme Room', 'Stayed 1 night', 'Submitted via mobile']",October 2019,.,-1
325,The Roxbury,the-roxbury-roxbury.en-gb,30 January 2019,1 review,9.2,This was a super relaxing trip and we really enjoyed our stay. Will be back to try the suites!,"['Leisure trip', 'Couple', 'Classic Contemporary King', 'Stayed 1 night']",January 2019,There are not many restaurants nearby.,4
326,The Roxbury,the-roxbury-roxbury.en-gb,30 January 2019,1 review,9.2,This was a super relaxing trip and we really enjoyed our stay. Will be back to try the suites!,"['Leisure trip', 'Couple', 'Classic Contemporary King', 'Stayed 1 night']",January 2019,"If you're willing to drive around the mountain, there is a great little restaurant called Bushland.",4
327,The Roxbury,the-roxbury-roxbury.en-gb,30 January 2019,1 review,10.0,We spent 2 days at the motel and it was AMAZING.,"['Leisure trip', 'Couple', 'One-Bedroom Suite: The Spacepad', 'Stayed 2 nights']",January 2019,"I didn't like that the Netflix and Hulu wasn't hooked up in the bedroom,only in the livingroom",6
328,The Roxbury,the-roxbury-roxbury.en-gb,8 January 2019,11 reviews,10.0,Unbelievable. Excellent. We will tell all our friends to come here..,"['Leisure trip', 'Group', 'Two-Bedroom Suite with Two Bathrooms', 'Stayed 1 night', 'Submitted via mobile']",January 2019,There is nothing not to like,-1
331,The Roxbury,the-roxbury-roxbury.en-gb,8 January 2019,8 reviews,9.2,Superb,"['Leisure trip', 'Couple', 'Classic Contemporary King', 'Stayed 2 nights', 'Submitted via mobile']",January 2019,"The breakfast is just pastries, yogurts, and cold cuts.",2
332,The Roxbury,the-roxbury-roxbury.en-gb,7 January 2019,1 review,10.0,Pleasant!,"['Leisure trip', 'Family with young children', 'Two-Bedroom Suite with Two Bathrooms', 'Stayed 3 nights', 'Submitted via mobile']",January 2019,A toaster during breakfast would be great.,2
333,The Roxbury,the-roxbury-roxbury.en-gb,25 December 2018,8 reviews,10.0,Exceptional,"['Leisure trip', 'Couple', 'Standard Studio', 'Stayed 1 night', 'Submitted via mobile']",December 2018,Nothing to report.,-1
334,The Roxbury,the-roxbury-roxbury.en-gb,24 December 2018,2 reviews,10.0,Amazing Boutique experience,"['Leisure trip', 'Couple', 'Classic Contemporary King', 'Stayed 2 nights', 'Submitted via mobile']",December 2018,That I had to leave.,-1
335,The Roxbury,the-roxbury-roxbury.en-gb,26 November 2018,4 reviews,10.0,"Our stay was perfection in every conceivable way and we were truly, deeply impressed!","['Leisure trip', 'Group', 'Classic Contemporary Two Double', 'Stayed 1 night', 'Submitted via mobile']",November 2018,Absolutely nothing,-1
345,Homewood Suites By Hilton Clifton Park,homewood-suites-by-hilton-clifton-park.en-gb,23 February 2020,3 reviews,10.0,Beautiful hotel. So spacious and had a great comfortable feel.,"['Leisure trip', 'Family with young children', 'Queen Suite with Two Queen Beds - Hearing Accessible - Non-Smoking', 'Stayed 2 nights', 'Submitted via mobile']",February 2020,My daughter and I have long hair and there was not enough shampoo.,5
346,Homewood Suites By Hilton Clifton Park,homewood-suites-by-hilton-clifton-park.en-gb,23 February 2020,3 reviews,10.0,Beautiful hotel. So spacious and had a great comfortable feel.,"['Leisure trip', 'Family with young children', 'Queen Suite with Two Queen Beds - Hearing Accessible - Non-Smoking', 'Stayed 2 nights', 'Submitted via mobile']",February 2020,We also had to call down for clean towels.,5
356,Homewood Suites By Hilton Clifton Park,homewood-suites-by-hilton-clifton-park.en-gb,18 May 2019,1 review,9.6,Very clean and comfortable.,"['Family with young children', 'One-Bedroom Queen Suite with Two Queen Beds - Non-Smoking', 'Stayed 1 night', 'Submitted via mobile']",May 2019,Shower temperature kept changing (probably due to others showering at the same time); shower was slippery (safety issue); iron steam function was hard to get going.,5
357,Homewood Suites By Hilton Clifton Park,homewood-suites-by-hilton-clifton-park.en-gb,2 May 2019,1 review,8.3,Very good,"['Business trip', 'Couple', 'King Studio Suite - Non-Smoking', 'Stayed 1 night']",April 2019,Room was cold and temperature settings didn't adjust well; bathroom was small.,0
358,Homewood Suites By Hilton Clifton Park,homewood-suites-by-hilton-clifton-park.en-gb,25 April 2019,4 reviews,10.0,Exceptional,"['Leisure trip', 'Family with young children', 'King Studio Suite - Non-Smoking', 'Stayed 1 night', 'Submitted via mobile']",April 2019,Everything good,-1
360,Homewood Suites By Hilton Clifton Park,homewood-suites-by-hilton-clifton-park.en-gb,15 March 2019,4 reviews,10.0,Very comfortable and satisfying. Thank you,"['Leisure trip', 'Group', 'One-Bedroom Queen Suite with Two Queen Beds - Non-Smoking', 'Stayed 1 night', 'Submitted via mobile']",March 2019,The only negative was the ceiling fan in the bedroom did not work.,6
380,1000 Islands Harbor Hotel,1000-islands-harbor.en-gb,29 December 2019,2 reviews,10.0,Comfortable and Stress Free,"['Leisure trip', 'Family with young children', 'Two Queen Village View - Disability Access', 'Stayed 2 nights', 'Submitted via mobile']",December 2019,The mattresses were firmer then you would expect for such a luxurious hotel.,7
392,1000 Islands Harbor Hotel,1000-islands-harbor.en-gb,17 October 2019,9 reviews,10.0,Comfortable and relaxing!,"['Leisure trip', 'Couple', 'Two Queen River View', 'Stayed 2 nights', 'Submitted via mobile']",October 2019,Restaurant could have offered a more affordable menu.,3
395,1000 Islands Harbor Hotel,1000-islands-harbor.en-gb,27 July 2019,1 review,9.6,Had a wonderful time !,"['Leisure trip', 'Family with young children', 'Two Queen River View', 'Stayed 4 nights', 'Submitted via mobile']",July 2019,"Indoor pool was very nice , but no true "" deep""  end .",3
398,1000 Islands Harbor Hotel,1000-islands-harbor.en-gb,21 July 2019,2 reviews,10.0,Love it. We Will be back.,"['Leisure trip', 'Couple', 'Two Queen Village View', 'Stayed 4 nights']",July 2019,Slow elevator.,3
399,1000 Islands Harbor Hotel,1000-islands-harbor.en-gb,19 July 2019,1 review,9.0,Very good,"['Leisure trip', 'Family with young children', 'King Sofa Village View', 'Stayed 1 night']",July 2019,For your own safety the shower needs safety bar to grab on to in case of losing balance etc.,5
400,1000 Islands Harbor Hotel,1000-islands-harbor.en-gb,18 July 2019,6 reviews,8.8,A lovely 24 hrs in Clayton. Particularly enjoyed the evening sitting out by the l fire,"['Leisure trip', 'Family with young children', 'Two Queen Village View', 'Stayed 1 night', 'Submitted via mobile']",July 2019,Our main mirror in the bedroom was dirty - obvious hand prints on it,6
403,1000 Islands Harbor Hotel,1000-islands-harbor.en-gb,15 July 2019,1 review,10.0,Exceptional,"['Leisure trip', 'Couple', 'King Sofa River View', 'Stayed 2 nights', 'Submitted via mobile']",July 2019,The walls are super thin and you can hear everything.,0
404,1000 Islands Harbor Hotel,1000-islands-harbor.en-gb,15 July 2019,1 review,10.0,Exceptional,"['Leisure trip', 'Couple', 'King Sofa River View', 'Stayed 2 nights', 'Submitted via mobile']",July 2019,The person in the next room you can hear there conversation.,0
406,1000 Islands Harbor Hotel,1000-islands-harbor.en-gb,14 July 2019,1 review,9.6,Pricey but worth the money.,"['Leisure trip', 'Couple', 'King Sofa Village View with Balcony ', 'Stayed 2 nights', 'Submitted via mobile']",July 2019,No coffee maker in room.,6
411,1000 Islands Harbor Hotel,1000-islands-harbor.en-gb,7 July 2019,2 reviews,8.8,Fabulous,"['Leisure trip', 'Couple', 'King Sofa River View with Balcony', 'Stayed 1 night', 'Submitted via mobile']",July 2019,That there wasn't breakfast included in price if the room.,2
414,1000 Islands Harbor Hotel,1000-islands-harbor.en-gb,1 July 2019,3 reviews,9.2,Superb,"['Leisure trip', 'People with friends', 'Two Queen River View Effeciency with Balcony\t', 'Stayed 2 nights', 'Submitted via mobile']",June 2019,The kitchenette in the room had absolutely no amenities.,6
415,1000 Islands Harbor Hotel,1000-islands-harbor.en-gb,1 July 2019,3 reviews,9.2,Superb,"['Leisure trip', 'People with friends', 'Two Queen River View Effeciency with Balcony\t', 'Stayed 2 nights', 'Submitted via mobile']",June 2019,The hot water in the sink & shower was cold & took a long time to warm up.,5
416,1000 Islands Harbor Hotel,1000-islands-harbor.en-gb,27 June 2019,1 review,10.0,Fabulous,"['Leisure trip', 'Family with young children', 'Two Queen River View', 'Stayed 1 night', 'Submitted via mobile']",June 2019,Fire pits fill up fast,3
468,Embassy Suites Saratoga Springs,embassy-suites-saratoga-springs.en-gb,9 December 2019,3 reviews,10.0,Well Worth the Money.,"['Leisure trip', 'Couple', 'One-Bedroom King Suite', 'Stayed 3 nights', 'Submitted via mobile']",December 2019,Were given room 206 directly above pool which made the room muggy & with a slight chlorine smell.,0
492,Embassy Suites Saratoga Springs,embassy-suites-saratoga-springs.en-gb,7 January 2019,2 reviews,10.0,Wish it had been 2 night instead of 1!,"['Leisure trip', 'Couple', 'One-Bedroom King Suite', 'Stayed 1 night', 'Submitted via mobile']",January 2019,The mattress was just ok.,7
493,Embassy Suites Saratoga Springs,embassy-suites-saratoga-springs.en-gb,2 January 2019,9 reviews,9.6,Exceptional,"['Leisure trip', 'Family with young children', 'One-Bedroom King Suite', 'Stayed 4 nights']",January 2019,The quality of mattress.,7
494,Embassy Suites Saratoga Springs,embassy-suites-saratoga-springs.en-gb,24 December 2018,10 reviews,9.2,Wonderful.  I would visit again.,"['Leisure trip', 'Solo traveller', 'One-Bedroom Queen Suite with Two Queen Beds', 'Stayed 1 night']",December 2018,Everything was great.,-1
495,Embassy Suites Saratoga Springs,embassy-suites-saratoga-springs.en-gb,17 December 2018,25 reviews,10.0,Best hotel in Saratoga Springs,"['Leisure trip', 'Family with young children', 'One-Bedroom Queen Suite with Two Queen Beds', 'Stayed 1 night', 'Submitted via mobile']",December 2018,There was poop in the pool.,3
496,Embassy Suites Saratoga Springs,embassy-suites-saratoga-springs.en-gb,7 December 2018,1 review,9.6,Terrific,"['Business trip', 'Group', 'One-Bedroom Queen Suite with Two Queen Beds', 'Stayed 2 nights', 'Submitted via mobile']",November 2018,See above,-1
500,Embassy Suites Saratoga Springs,embassy-suites-saratoga-springs.en-gb,14 September 2018,1 review,10.0,Great,"['Leisure trip', 'Couple', 'One-Bedroom King Suite', 'Stayed 1 night']",ptember 2018,The gym could have been a little larger.,3
540,Blue Moon Motel,blue-moon-motel.en-gb,29 August 2019,2 reviews,8.8,Nice motel excellent value & excellent staff,"['Leisure trip', 'Group', 'Queen Room', 'Stayed 3 nights', 'Submitted via mobile']",August 2019,Mattress too soft,7
580,Salvatores Grand Hotel,salvatores-grand.en-gb,17 February 2020,35 reviews,9.2,Superb,"['Leisure trip', 'Family with young children', 'Queen Room with Two Queen Beds', 'Stayed 1 night', 'Submitted via mobile']",February 2020,"The breakfast was only OK, others have said its very good, its just OK.",2
581,Salvatores Grand Hotel,salvatores-grand.en-gb,11 February 2020,8 reviews,10.0,We had an excellent stay!,"['Leisure trip', 'Couple', 'King Room', 'Stayed 2 nights', 'Submitted via mobile']",January 2020,Everything was perfect!,-1
584,Salvatores Grand Hotel,salvatores-grand.en-gb,11 December 2019,25 reviews,9.0,Awesome!!!!!,"['Leisure trip', 'Couple', 'King Room', 'Stayed 1 night', 'Submitted via mobile']",November 2019,Everything perfect.,-1
585,Salvatores Grand Hotel,salvatores-grand.en-gb,11 December 2019,25 reviews,9.0,Awesome!!!!!,"['Leisure trip', 'Couple', 'King Room', 'Stayed 1 night', 'Submitted via mobile']",November 2019,No complaints,-1
588,Salvatores Grand Hotel,salvatores-grand.en-gb,30 November 2019,24 reviews,7.9,Good,"['Leisure trip', 'Family with young children', 'Queen Room with Two Queen Beds', 'Stayed 2 nights', 'Submitted via mobile']",November 2019,You could hear people.,0
589,Salvatores Grand Hotel,salvatores-grand.en-gb,30 November 2019,24 reviews,7.9,Good,"['Leisure trip', 'Family with young children', 'Queen Room with Two Queen Beds', 'Stayed 2 nights', 'Submitted via mobile']",November 2019,Talking in the halls,0
590,Salvatores Grand Hotel,salvatores-grand.en-gb,19 November 2019,1 review,9.0,Superb,"['Leisure trip', 'Family with young children', 'Queen Room with Two Queen Beds', 'Stayed 1 night']",October 2019,Didn't particulary like the sink out in the room area rather than in the bathroom.,5
592,Salvatores Grand Hotel,salvatores-grand.en-gb,12 November 2019,2 reviews,10.0,A most pleasurable experience for us.,"['Leisure trip', 'Couple', 'King Room', 'Stayed 1 night', 'Submitted via mobile']",November 2019,The toilet paper could be a little better.,5
764,Hilton Garden Inn Corning Downtown,hilton-garden-inn-corning-downtown.en-gb,29 October 2019,2 reviews,10.0,Exceptional,"['Leisure trip', 'Couple', 'Queen Room with Two Queen Beds', 'Stayed 1 night']",October 2019,The room could have used more lighting.,6
769,Hilton Garden Inn Corning Downtown,hilton-garden-inn-corning-downtown.en-gb,28 January 2019,2 reviews,10.0,Excellent location and excellent people - we had a wonderful stay.,"['Leisure trip', 'Family with young children', 'Queen Room with Two Queen Beds', 'Stayed 2 nights']",January 2019,Really nothing we did not like.,-1
770,Hilton Garden Inn Corning Downtown,hilton-garden-inn-corning-downtown.en-gb,27 January 2019,1 review,10.0,A nice hotel good location,"['Leisure trip', 'Solo traveller', 'King Room - Hearing Accessible', 'Stayed 1 night', 'Submitted via mobile']",January 2019,Pillow,7
771,Hilton Garden Inn Corning Downtown,hilton-garden-inn-corning-downtown.en-gb,27 November 2018,1 review,9.6,Exceptional,"['Leisure trip', 'Family with young children', 'Queen Room with Two Queen Beds', 'Stayed 2 nights', 'Submitted via mobile']",November 2018,The 11.99 per adult for breakfast was not worth the cost.,2
772,Hilton Garden Inn Corning Downtown,hilton-garden-inn-corning-downtown.en-gb,27 November 2018,1 review,9.6,Exceptional,"['Leisure trip', 'Family with young children', 'Queen Room with Two Queen Beds', 'Stayed 2 nights', 'Submitted via mobile']",November 2018,Pretty basic food choices.,2
780,Hilton Garden Inn Corning Downtown,hilton-garden-inn-corning-downtown.en-gb,11 September 2018,1 review,8.8,Fabulous,"['Leisure trip', 'Couple', 'King Room', 'Stayed 1 night', 'Submitted via mobile']",ptember 2018,Waitress was very unprofessional.,1
781,Hilton Garden Inn Corning Downtown,hilton-garden-inn-corning-downtown.en-gb,18 August 2018,8 reviews,9.6,Exceptional,"['Leisure trip', 'Family with young children', 'Queen Room with Two Queen Beds', 'Stayed 1 night', 'Submitted via mobile']",August 2018,Be nice to have breakfast part of the stay without having to pay extra,2
802,Hilton Garden Inn Corning Downtown,hilton-garden-inn-corning-downtown.en-gb,10 September 2018,1 review,7.5,Good,"['Leisure trip', 'Couple', 'King Room', 'Stayed 1 night', 'Submitted via mobile']",ptember 2018,No one at the front desk when we entered..,1
863,Casablanca Hotel by Library Hotel Collection,casablanca.en-gb,13 September 2018,35 reviews,10.0,"Overall a wonderful stay, really like a sanctuary in the heart of Manhattan!","['Leisure trip', 'Group', 'Minisuite with 2 beds', 'Stayed 2 nights', 'Submitted via mobile']",ptember 2018,"Perhaps a fresher air smell in the room as it rather smelled of stale food, but then again, the air in Manhattan kind of smells like that.",0
875,Casablanca Hotel by Library Hotel Collection,casablanca.en-gb,9 August 2018,11 reviews,10.0,Great stay,"['Leisure trip', 'Group', 'Deluxe Queen Room', 'Stayed 1 night', 'Submitted via mobile']",August 2018,"Air conditioning unit noise, but this couldn't be helped due to the heat at this time of year.",0
927,Chautauqua Harbor Hotel - Jamestown,chautauqua-harbor.en-gb,4 February 2020,1 review,8.0,Off season stay. ,"['Leisure trip', 'Family with young children', 'Standard Queen Room', 'Stayed 2 nights', 'Submitted via mobile']",February 2020,Room 239 has no view.,4
957,Chautauqua Harbor Hotel - Jamestown,chautauqua-harbor.en-gb,7 March 2019,4 reviews,10.0,Exceptional,"['Leisure trip', 'Couple', 'Standard King Room', 'Stayed 1 night', 'Submitted via mobile']",March 2019,Breakfast in the restaurant was very slow.,2
961,"Hampton Inn Penn Yan, NY",hampton-inn-penn-yan-ny.en-gb,26 April 2020,2 reviews,8.0,Was great until i checked out and looked at my bank balance to see i was charged 3 times,"['Leisure trip', 'Couple', 'Executive Queen Room with Two Queen Beds and Water View', 'Stayed 2 nights', 'Submitted via mobile']",April 2020,Breakfast included in price but we got a nutri grain bar muffin n bottle of water...price should reflect this regardless of the corona virus,2
